GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",627,144,-,**,581,127,665,211,543,430,-,**,-,**
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",702,119,576,274,519,156,892,130,721,171,-,**,-,**
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",655,183,487,154,981,366,638,186,837,240,-,**,-,**
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",3048,117,2841,77,3209,106,3190,280,3083,616,-,**,-,**
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",999,54,773,350,937,43,1145,63,1424,339,-,**,-,**
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York","3,500+",***,3250,297,"3,500+",***,"3,500+",***,3321,683,-,**,-,**
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",1274,164,-,**,1338,190,1138,158,-,**,-,**,-,**
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",434,102,335,180,343,159,401,73,799,222,-,**,-,**
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",1057,197,644,471,590,374,1295,222,1108,317,-,**,-,**
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",3018,100,2763,88,3248,117,"3,500+",***,3038,1134,-,**,-,**
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",1045,627,2097,2065,-,**,-,**,-,**,-,**,-,**
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",1090,195,1595,979,910,427,1033,291,1538,1482,-,**,-,**
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",2044,1367,2608,955,3011,1679,895,751,971,565,-,**,-,**
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3223,110,2791,107,3396,165,3293,206,3454,469,-,**,-,**
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",1154,174,1601,1509,983,208,1346,231,1181,314,-,**,-,**
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",1215,155,1487,859,1159,566,1161,215,1059,405,-,**,-,**
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",421,41,337,95,331,126,449,67,452,84,-,**,-,**
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",3363,143,3129,249,3487,207,3227,312,"3,500+",***,-,**,-,**
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",939,90,-,**,1143,471,927,93,1340,117,-,**,-,**
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",2058,432,1859,211,1893,813,2421,773,3194,1912,-,**,-,**
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",373,47,285,20,381,82,380,151,395,78,-,**,-,**
