GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",-,**
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",21102,5782
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",32411,5925
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",-,**
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",18641,4140
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",120291,16357
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",31129,4504
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",158125,28789
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",75192,13625
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",16464,4653
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",51474,17545
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",124313,8863
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",75556,18425
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",26971,8185
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",85426,12847
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",145387,13270
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",42986,10903
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",61750,11431
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",15490,2621
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York","250,000+",***
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",33700,6979
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",88099,13097
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",18354,3741
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",16324,2013
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",56420,17891
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",73056,19261
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",56422,16905
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",35440,9780
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",30434,5123
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",71591,12271
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",52479,12813
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",185833,53016
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",66835,16369
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York",207460,110580
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",77254,10669
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",48990,10856
1400000US36061003602,36061003602,"Census Tract 36.02, New York County, New York",77778,21487
1400000US36061003700,36061003700,"Census Tract 37, New York County, New York",145000,23352
1400000US36061003800,36061003800,"Census Tract 38, New York County, New York",60450,13834
1400000US36061003900,36061003900,"Census Tract 39, New York County, New York",158646,33840
1400000US36061004000,36061004000,"Census Tract 40, New York County, New York",87276,16302
1400000US36061004100,36061004100,"Census Tract 41, New York County, New York",76522,19442
1400000US36061004200,36061004200,"Census Tract 42, New York County, New York",142500,31424
1400000US36061004300,36061004300,"Census Tract 43, New York County, New York",69363,5365
1400000US36061004400,36061004400,"Census Tract 44, New York County, New York",94000,7595
1400000US36061004500,36061004500,"Census Tract 45, New York County, New York",140813,60524
1400000US36061004700,36061004700,"Census Tract 47, New York County, New York",120319,35583
1400000US36061004800,36061004800,"Census Tract 48, New York County, New York",112500,18067
1400000US36061004900,36061004900,"Census Tract 49, New York County, New York",102161,12058
1400000US36061005000,36061005000,"Census Tract 50, New York County, New York",126036,43832
1400000US36061005200,36061005200,"Census Tract 52, New York County, New York",170865,28010
1400000US36061005400,36061005400,"Census Tract 54, New York County, New York",129735,25584
1400000US36061005501,36061005501,"Census Tract 55.01, New York County, New York",151234,22490
1400000US36061005502,36061005502,"Census Tract 55.02, New York County, New York",112768,36867
1400000US36061005600,36061005600,"Census Tract 56, New York County, New York",121507,38627
1400000US36061005700,36061005700,"Census Tract 57, New York County, New York",138798,27534
1400000US36061005800,36061005800,"Census Tract 58, New York County, New York",175625,72836
1400000US36061005900,36061005900,"Census Tract 59, New York County, New York",113984,27709
1400000US36061006000,36061006000,"Census Tract 60, New York County, New York",109167,10809
1400000US36061006100,36061006100,"Census Tract 61, New York County, New York",115602,32590
1400000US36061006200,36061006200,"Census Tract 62, New York County, New York",102866,14464
1400000US36061006300,36061006300,"Census Tract 63, New York County, New York",120244,21440
1400000US36061006400,36061006400,"Census Tract 64, New York County, New York",107043,12789
1400000US36061006500,36061006500,"Census Tract 65, New York County, New York",101772,9544
1400000US36061006600,36061006600,"Census Tract 66, New York County, New York",67612,14893
1400000US36061006700,36061006700,"Census Tract 67, New York County, New York",93063,19067
1400000US36061006800,36061006800,"Census Tract 68, New York County, New York",123388,22412
1400000US36061006900,36061006900,"Census Tract 69, New York County, New York",209167,36862
1400000US36061007000,36061007000,"Census Tract 70, New York County, New York",98036,17328
1400000US36061007100,36061007100,"Census Tract 71, New York County, New York",127904,11686
1400000US36061007200,36061007200,"Census Tract 72, New York County, New York",102045,16473
1400000US36061007300,36061007300,"Census Tract 73, New York County, New York",96641,21513
1400000US36061007400,36061007400,"Census Tract 74, New York County, New York",121217,30485
1400000US36061007500,36061007500,"Census Tract 75, New York County, New York",126957,10610
1400000US36061007600,36061007600,"Census Tract 76, New York County, New York",102153,25716
1400000US36061007700,36061007700,"Census Tract 77, New York County, New York",122008,23010
1400000US36061007800,36061007800,"Census Tract 78, New York County, New York",108306,23703
1400000US36061007900,36061007900,"Census Tract 79, New York County, New York",90735,34468
1400000US36061008000,36061008000,"Census Tract 80, New York County, New York",111802,24597
1400000US36061008100,36061008100,"Census Tract 81, New York County, New York",123649,17676
1400000US36061008200,36061008200,"Census Tract 82, New York County, New York",120933,25401
