GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",-,**
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",20521,4537
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",29684,3510
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",-,**
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",19863,5878
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",117841,13607
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",27137,7611
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",147500,30405
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",73239,16153
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",17560,3908
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",41705,19643
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",123558,15444
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",76250,14590
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",24375,3314
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",81867,11845
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",133209,11906
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",31452,15588
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",59416,7717
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",16778,2682
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York","250,000+",***
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",34988,11552
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",68750,27796
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",22676,5682
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",16527,2427
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",43854,21484
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",70037,16189
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",57171,16252
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",30056,7828
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",30629,7401
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",62199,18372
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",50625,15722
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",183500,49614
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",71033,12391
1400000US36061003300,36061003300,"Census Tract 33, New York County, New York","250,000+",***
1400000US36061003400,36061003400,"Census Tract 34, New York County, New York",67166,9630
1400000US36061003601,36061003601,"Census Tract 36.01, New York County, New York",44286,12364
