GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median gross rent -- - Total:,Margin of Error; Median gross rent -- - Total:,Estimate; Median gross rent -- - Total: - No bedroom,Margin of Error; Median gross rent -- - Total: - No bedroom,Estimate; Median gross rent -- - Total: - 1 bedroom,Margin of Error; Median gross rent -- - Total: - 1 bedroom,Estimate; Median gross rent -- - Total: - 2 bedrooms,Margin of Error; Median gross rent -- - Total: - 2 bedrooms,Estimate; Median gross rent -- - Total: - 3 bedrooms,Margin of Error; Median gross rent -- - Total: - 3 bedrooms,Estimate; Median gross rent -- - Total: - 4 bedrooms,Margin of Error; Median gross rent -- - Total: - 4 bedrooms,Estimate; Median gross rent -- - Total: - 5 or more bedrooms,Margin of Error; Median gross rent -- - Total: - 5 or more bedrooms
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",628,58,559,150,534,73,827,245,847,69,-,**,-,**
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",-,**,-,**,-,**,-,**,-,**,-,**,-,**
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",645,160,559,476,518,437,783,281,684,335,-,**,-,**
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",2857,109,2642,129,3052,175,3307,405,3020,308,-,**,-,**
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",929,49,726,193,870,53,1064,73,1322,330,-,**,-,**
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York","3,500+",***,3316,373,"3,500+",***,"3,500+",***,3196,157,-,**,-,**
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",973,502,-,**,871,823,991,614,-,**,-,**,-,**
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",396,58,502,387,290,85,415,47,530,515,1367,677,-,**
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",908,385,715,628,514,150,1182,444,708,431,-,**,-,**
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",2817,91,2589,105,3037,128,3475,303,2955,800,-,**,-,**
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",3075,128,2584,218,3184,148,3177,118,3307,548,-,**,-,**
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",1191,239,1609,453,1093,497,1008,324,973,391,-,**,-,**
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",415,30,409,283,321,89,388,51,489,118,-,**,-,**
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York","3,500+",***,3341,278,"3,500+",***,3242,501,"3,500+",***,-,**,-,**
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",2195,364,1883,309,2441,689,1932,512,"3,500+",***,-,**,-,**
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",386,65,299,41,308,93,365,81,756,276,527,122,-,**
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",955,124,353,183,970,301,1051,196,1122,225,-,**,-,**
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",1028,180,1180,582,981,467,1083,174,-,**,-,**,-,**
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",1964,129,1896,97,1939,240,2223,682,2232,692,-,**,-,**
1400000US36061003002,36061003002,"Census Tract 30.02, New York County, New York",1235,181,1133,203,1185,290,1484,533,2068,865,-,**,-,**
1400000US36061003100,36061003100,"Census Tract 31, New York County, New York",2719,173,2547,353,2866,270,2650,1295,-,**,-,**,-,**
1400000US36061003200,36061003200,"Census Tract 32, New York County, New York",1607,183,1717,176,1712,315,1115,92,2769,724,-,**,-,**
